Device ID,EDOP3_C10R8,,
Flags,,,
Remarks,,,
VG,IDS,IG,VDS
-3.444,5.20907E-08,7E-15,0.1
-3.333,5.64819E-08,4.3E-14,0.1
-3.222,6.11976E-08,2.9E-14,0.1
-3.111,6.62493E-08,1.37E-13,0.1
-3,7.16178E-08,1.3E-14,0.1
-2.889,7.73289E-08,9.1E-14,0.1
-2.778,8.34487E-08,-4.2E-14,0.1
-2.667,8.99483E-08,-4.4E-14,0.1
-2.556,9.68459E-08,2.7E-14,0.1
-2.444,1.04289E-07,3.7E-14,0.1
-2.333,1.120841E-07,4E-14,0.1
-2.222,1.20168E-07,1.8E-14,0.1
-2.111,1.2894E-07,3.5E-14,0.1
-2,1.38199E-07,2.8E-14,0.1
-1.8889,0.000000148,4.4E-14,0.1
-1.7778,1.58264E-07,2.5E-14,0.1
-1.6667,1.69169E-07,2.6E-14,0.1
-1.5556,1.80591E-07,1.3E-14,0.1
-1.4444,1.92644E-07,1.7E-14,0.1
-1.3333,2.05294E-07,0,0.1
-1.2222,2.18575E-07,2.2E-14,0.1
-1.1111,2.32411E-07,2.6E-14,0.1
-1,0.000000247,3.4E-14,0.1
-0.8889,2.62216E-07,3E-14,0.1
-0.7778,2.7814E-07,2.2E-14,0.1
-0.6667,2.94677E-07,3.4E-14,0.1
-0.5556,0.000000312,4.7E-14,0.1
-0.4444,3.30121E-07,1.3E-14,0.1
-0.3333,0.000000349,9E-15,0.1
-0.2222,3.68493E-07,4.8E-14,0.1
-0.1111,3.88789E-07,4.3E-14,0.1
0,4.09647E-07,4E-15,0.1
0.1111,4.31521E-07,4.2E-14,0.1
0.2222,0.000000454,2.4E-14,0.1
0.3333,4.7734E-07,1.5E-14,0.1
0.4444,5.01307E-07,2.2E-14,0.1
0.5556,5.26261E-07,3.5E-14,0.1
0.6667,5.51707E-07,3.3E-14,0.1
0.7778,5.77936E-07,2.9E-14,0.1
0.8889,6.04833E-07,3.1E-14,0.1
1,6.32564E-07,3.2E-14,0.1
1.1111,6.60922E-07,2.6E-14,0.1
1.2222,0.00000069,4.1E-14,0.1
1.3333,7.19766E-07,3.4E-14,0.1
1.4444,0.00000075,3.4E-14,0.1
1.5556,7.81572E-07,2.5E-14,0.1
1.6667,8.13309E-07,2.9E-14,0.1
1.7778,0.000000846,5.6E-14,0.1
1.8889,0.000000879,2.5E-14,0.1
2,9.12692E-07,4.5E-14,0.1
2.111,9.47188E-07,5.2E-14,0.1
2.222,9.82096E-07,4.4E-14,0.1
2.333,1.017596E-06,4.8E-14,0.1
2.444,1.053857E-06,6.2E-14,0.1
2.556,1.09078E-06,4.4E-14,0.1
2.667,1.128058E-06,5.2E-14,0.1
2.778,1.16549E-06,3.7E-14,0.1
2.889,1.20376E-06,5.1E-14,0.1
3,1.24274E-06,3.9E-14,0.1
3.111,1.2824E-06,4.9E-14,0.1
3.222,1.32218E-06,5.7E-14,0.1
3.333,1.36246E-06,5E-14,0.1
3.444,1.4031E-06,3.2E-14,0.1
3.556,1.44472E-06,3.7E-14,0.1
3.667,1.48622E-06,3.5E-14,0.1
3.778,1.52827E-06,4.1E-14,0.1
